9  , 9  , 9  , 9  , 9  , 9  , 1  , 10 , 1  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 1  , 1  , 1  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 1  , 1  , 1  , 9  , 9  , 9  , 9  , 9  , 9  , 
9  , 9  , 9  , 9  , 9  , 9  , 1  , 10 , 1  , 9  , 9  , 9  , 9  , 9  , 9  , 

0  , 0  , 0  , 7  , 0  , 0  , 0  , 0  , 7  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 1  , 0  , 7  , 0  , 0  , 0  , 0  , 1  , 0  , 1  , 0  , 1  , 0  , 0  , 
8  , 1  , 0  , 0  , 0  , 0  , 1  , 7  , 1  , 0  , 1  , 7  , 1  , 0  , 7  , 
8  , 8  , 0  , 1  , 0  , 0  , 0  , 0  , 0  , 7  , 0  , 0  , 8  , 0  , 0  , 
0  , 1  , 1  , 1  , 1  , 8  , 8  , 8  , 7  , 0  , 0  , 0  , 8  , 1  , 0  , 
0  , 0  , 0  , 0  , 7  , 8  , 1  , 0  , 1  , 0  , 1  , 1  , 8  , 1  , 0  , 
7  , 1  , 1  , 0  , 7  , 0  , 1  , 1  , 1  , 0  , 1  , 0  , 0  , 1  , 0  , 
0  , 1  , 1  , 0  , 1  , 0  , 1  , 1  , 1  , 0  , 1  , 1  , 7  , 1  , 0  , 
